date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:12:30	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Sep%202025%2017:10:56%20GMT	https://mehedi.asiandevelopers.com/robots.txt		(from )
22:12:31	127729/127729	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Apr%202023%2009:31:14%20GMT	https://mehedi.asiandevelopers.com/govarnex-demo/	C:/Muhammad%20Ayan/Government%20Website%20work/government%20of%20balochis/mehedi.asiandevelopers.com/govarnex-demo/index.html	(from )
22:12:40	22696/22696	---M--	200	added ('OK')	image/png	date:Mon,%2025%20Jul%202022%2021:31:22%20GMT	https://mehedi.asiandevelopers.com/govarnex-demo/assets/images/favicons/apple-touch-icon.png	C:/Muhammad%20Ayan/Government%20Website%20work/government%20of%20balochis/mehedi.asiandevelopers.com/govarnex-demo/assets/images/favicons/apple-touch-icon.png	(from https://mehedi.asiandevelopers.com/govarnex-demo/)
22:12:41	1646/1646	---M--	200	added ('OK')	image/png	date:Mon,%2025%20Jul%202022%2021:31:22%20GMT	https://mehedi.asiandevelopers.com/govarnex-demo/assets/images/favicons/favicon-32x32.png	C:/Muhammad%20Ayan/Government%20Website%20work/government%20of%20balochis/mehedi.asiandevelopers.com/govarnex-demo/assets/images/favicons/favicon-32x32.png	(from https://mehedi.asiandevelopers.com/govarnex-demo/)
22:12:42	678/678	---M--	200	added ('OK')	image/png	date:Mon,%2025%20Jul%202022%2021:31:22%20GMT	https://mehedi.asiandevelopers.com/govarnex-demo/assets/images/favicons/favicon-16x16.png	C:/Muhammad%20Ayan/Government%20Website%20work/government%20of%20balochis/mehedi.asiandevelopers.com/govarnex-demo/assets/images/favicons/favicon-16x16.png	(from https://mehedi.asiandevelopers.com/govarnex-demo/)
22:12:43	263/263	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2025%20Jul%202022%2021:31:22%20GMT	https://mehedi.asiandevelopers.com/govarnex-demo/assets/images/favicons/site.webmanifest	C:/Muhammad%20Ayan/Government%20Website%20work/government%20of%20balochis/mehedi.asiandevelopers.com/govarnex-demo/assets/images/favicons/site.webmanifest	(from https://mehedi.asiandevelopers.com/govarnex-demo/)
22:12:44	87493/87493	---M-Z	200	added ('OK')	text/css	date:Thu,%2030%20Jun%202022%2016:10:18%20GMT	https://mehedi.asiandevelopers.com/govarnex-demo/assets/vendors/animate/animate.min.css	C:/Muhammad%20Ayan/Government%20Website%20work/government%20of%20balochis/mehedi.asiandevelopers.com/govarnex-demo/assets/vendors/animate/animate.min.css	(from https://mehedi.asiandevelopers.com/govarnex-demo/)
22:12:44	29574/29574	---M-Z	200	added ('OK')	text/css	date:Thu,%2030%20Jun%202022%2016:10:16%20GMT	https://mehedi.asiandevelopers.com/govarnex-demo/assets/vendors/animate/custom-animate.css	C:/Muhammad%20Ayan/Government%20Website%20work/government%20of%20balochis/mehedi.asiandevelopers.com/govarnex-demo/assets/vendors/animate/custom-animate.css	(from https://mehedi.asiandevelopers.com/govarnex-demo/)
22:12:45	154875/154875	---M-Z	200	added ('OK')	text/css	date:Tue,%2011%20Jan%202022%2015:35:02%20GMT	https://mehedi.asiandevelopers.com/govarnex-demo/assets/vendors/bootstrap/css/bootstrap.min.css	C:/Muhammad%20Ayan/Government%20Website%20work/government%20of%20balochis/mehedi.asiandevelopers.com/govarnex-demo/assets/vendors/bootstrap/css/bootstrap.min.css	(from https://mehedi.asiandevelopers.com/govarnex-demo/)
22:12:45	11832/11832	---M-Z	200	added ('OK')	text/css	date:Tue,%2011%20Jan%202022%2015:35:02%20GMT	https://mehedi.asiandevelopers.com/govarnex-demo/assets/vendors/bootstrap-select/css/bootstrap-select.min.css	C:/Muhammad%20Ayan/Government%20Website%20work/government%20of%20balochis/mehedi.asiandevelopers.com/govarnex-demo/assets/vendors/bootstrap-select/css/bootstrap-select.min.css	(from https://mehedi.asiandevelopers.com/govarnex-demo/)
22:12:46	3884/3884	---M-Z	200	added ('OK')	text/css	date:Tue,%2011%20Jan%202022%2015:35:04%20GMT	https://mehedi.asiandevelopers.com/govarnex-demo/assets/vendors/bxslider/jquery.bxslider.css	C:/Muhammad%20Ayan/Government%20Website%20work/government%20of%20balochis/mehedi.asiandevelopers.com/govarnex-demo/assets/vendors/bxslider/jquery.bxslider.css	(from https://mehedi.asiandevelopers.com/govarnex-demo/)
22:12:46	59348/59348	---M-Z	200	added ('OK')	text/css	date:Tue,%2011%20Jan%202022%2015:35:04%20GMT	https://mehedi.asiandevelopers.com/govarnex-demo/assets/vendors/fontawesome/css/all.min.css	C:/Muhammad%20Ayan/Government%20Website%20work/government%20of%20balochis/mehedi.asiandevelopers.com/govarnex-demo/assets/vendors/fontawesome/css/all.min.css	(from https://mehedi.asiandevelopers.com/govarnex-demo/)
22:12:47	7501/7501	---M-Z	200	added ('OK')	text/css	date:Sun,%2005%20Jun%202022%2011:43:04%20GMT	https://mehedi.asiandevelopers.com/govarnex-demo/assets/vendors/jquery-magnific-popup/jquery.magnific-popup.css	C:/Muhammad%20Ayan/Government%20Website%20work/government%20of%20balochis/mehedi.asiandevelopers.com/govarnex-demo/assets/vendors/jquery-magnific-popup/jquery.magnific-popup.css	(from https://mehedi.asiandevelopers.com/govarnex-demo/)
22:12:47	33549/33549	---M-Z	200	added ('OK')	text/css	date:Tue,%2011%20Jan%202022%2015:35:14%20GMT	https://mehedi.asiandevelopers.com/govarnex-demo/assets/vendors/jquery-ui/jquery-ui.css	C:/Muhammad%20Ayan/Government%20Website%20work/government%20of%20balochis/mehedi.asiandevelopers.com/govarnex-demo/assets/vendors/jquery-ui/jquery-ui.css	(from https://mehedi.asiandevelopers.com/govarnex-demo/)
22:13:03	3729/3729	---M-Z	200	added ('OK')	text/css	date:Mon,%2006%20Jun%202022%2019:56:28%20GMT	https://mehedi.asiandevelopers.com/govarnex-demo/assets/vendors/nice-select/nice-select.css	C:/Muhammad%20Ayan/Government%20Website%20work/government%20of%20balochis/mehedi.asiandevelopers.com/govarnex-demo/assets/vendors/nice-select/nice-select.css	(from https://mehedi.asiandevelopers.com/govarnex-demo/)
22:14:22	3116/3116	---M-Z	200	added ('OK')	text/css	date:Tue,%2011%20Jan%202022%2015:35:14%20GMT	https://mehedi.asiandevelopers.com/govarnex-demo/assets/vendors/odometer/odometer.min.css	C:/Muhammad%20Ayan/Government%20Website%20work/government%20of%20balochis/mehedi.asiandevelopers.com/govarnex-demo/assets/vendors/odometer/odometer.min.css	(from https://mehedi.asiandevelopers.com/govarnex-demo/)
22:14:22	3351/3351	---M-Z	200	added ('OK')	text/css	date:Tue,%2011%20Jan%202022%2015:35:16%20GMT	https://mehedi.asiandevelopers.com/govarnex-demo/assets/vendors/owl-carousel/owl.carousel.min.css	C:/Muhammad%20Ayan/Government%20Website%20work/government%20of%20balochis/mehedi.asiandevelopers.com/govarnex-demo/assets/vendors/owl-carousel/owl.carousel.min.css	(from https://mehedi.asiandevelopers.com/govarnex-demo/)
22:14:23	1013/1013	---M-Z	200	added ('OK')	text/css	date:Tue,%2011%20Jan%202022%2015:35:16%20GMT	https://mehedi.asiandevelopers.com/govarnex-demo/assets/vendors/owl-carousel/owl.theme.default.min.css	C:/Muhammad%20Ayan/Government%20Website%20work/government%20of%20balochis/mehedi.asiandevelopers.com/govarnex-demo/assets/vendors/owl-carousel/owl.theme.default.min.css	(from https://mehedi.asiandevelopers.com/govarnex-demo/)
22:14:23	13689/13689	---M-Z	200	added ('OK')	text/css	date:Tue,%2011%20Jan%202022%2015:35:18%20GMT	https://mehedi.asiandevelopers.com/govarnex-demo/assets/vendors/swiper/swiper.min.css	C:/Muhammad%20Ayan/Government%20Website%20work/government%20of%20balochis/mehedi.asiandevelopers.com/govarnex-demo/assets/vendors/swiper/swiper.min.css	(from https://mehedi.asiandevelopers.com/govarnex-demo/)
22:14:24	4071/4071	---M-Z	200	added ('OK')	text/css	date:Tue,%2011%20Jan%202022%2015:35:20%20GMT	https://mehedi.asiandevelopers.com/govarnex-demo/assets/vendors/timepicker/timePicker.css	C:/Muhammad%20Ayan/Government%20Website%20work/government%20of%20balochis/mehedi.asiandevelopers.com/govarnex-demo/assets/vendors/timepicker/timePicker.css	(from https://mehedi.asiandevelopers.com/govarnex-demo/)
22:14:28	2058/2058	---M-Z	200	added ('OK')	text/css	date:Tue,%2011%20Jan%202022%2015:35:20%20GMT	https://mehedi.asiandevelopers.com/govarnex-demo/assets/vendors/tiny-slider/tiny-slider.min.css	C:/Muhammad%20Ayan/Government%20Website%20work/government%20of%20balochis/mehedi.asiandevelopers.com/govarnex-demo/assets/vendors/tiny-slider/tiny-slider.min.css	(from https://mehedi.asiandevelopers.com/govarnex-demo/)
22:14:28	9459/9459	---M-Z	200	added ('OK')	text/css	date:Tue,%2011%20Jan%202022%2015:35:20%20GMT	https://mehedi.asiandevelopers.com/govarnex-demo/assets/vendors/vegas/vegas.min.css	C:/Muhammad%20Ayan/Government%20Website%20work/government%20of%20balochis/mehedi.asiandevelopers.com/govarnex-demo/assets/vendors/vegas/vegas.min.css	(from https://mehedi.asiandevelopers.com/govarnex-demo/)
22:14:36	3714/3714	---M-Z	200	added ('OK')	text/css	date:Sun,%2026%20Jun%202022%2020:35:20%20GMT	https://mehedi.asiandevelopers.com/govarnex-demo/assets/vendors/thm-icons/style.css	C:/Muhammad%20Ayan/Government%20Website%20work/government%20of%20balochis/mehedi.asiandevelopers.com/govarnex-demo/assets/vendors/thm-icons/style.css	(from https://mehedi.asiandevelopers.com/govarnex-demo/)
22:14:45	38062/38062	---M-Z	200	added ('OK')	text/css	date:Thu,%2028%20Jul%202022%2022:44:46%20GMT	https://mehedi.asiandevelopers.com/govarnex-demo/assets/css/module-css/01-header-section.css	C:/Muhammad%20Ayan/Government%20Website%20work/government%20of%20balochis/mehedi.asiandevelopers.com/govarnex-demo/assets/css/module-css/01-header-section.css	(from https://mehedi.asiandevelopers.com/govarnex-demo/)
22:15:18	20232/20232	---M-Z	200	added ('OK')	text/css	date:Thu,%2021%20Jul%202022%2012:27:52%20GMT	https://mehedi.asiandevelopers.com/govarnex-demo/assets/css/module-css/02-banner-section.css	C:/Muhammad%20Ayan/Government%20Website%20work/government%20of%20balochis/mehedi.asiandevelopers.com/govarnex-demo/assets/css/module-css/02-banner-section.css	(from https://mehedi.asiandevelopers.com/govarnex-demo/)
22:15:23	16114/16114	---M-Z	200	added ('OK')	text/css	date:Thu,%2028%20Jul%202022%2022:44:30%20GMT	https://mehedi.asiandevelopers.com/govarnex-demo/assets/css/module-css/03-about-section.css	C:/Muhammad%20Ayan/Government%20Website%20work/government%20of%20balochis/mehedi.asiandevelopers.com/govarnex-demo/assets/css/module-css/03-about-section.css	(from https://mehedi.asiandevelopers.com/govarnex-demo/)
22:15:24	4905/4905	---M-Z	200	added ('OK')	text/css	date:Thu,%2007%20Jul%202022%2017:00:04%20GMT	https://mehedi.asiandevelopers.com/govarnex-demo/assets/css/module-css/04-fact-counter-section.css	C:/Muhammad%20Ayan/Government%20Website%20work/government%20of%20balochis/mehedi.asiandevelopers.com/govarnex-demo/assets/css/module-css/04-fact-counter-section.css	(from https://mehedi.asiandevelopers.com/govarnex-demo/)
22:15:25	11060/11060	---M-Z	200	added ('OK')	text/css	date:Sat,%2009%20Jul%202022%2011:59:16%20GMT	https://mehedi.asiandevelopers.com/govarnex-demo/assets/css/module-css/05-testimonial-section.css	C:/Muhammad%20Ayan/Government%20Website%20work/government%20of%20balochis/mehedi.asiandevelopers.com/govarnex-demo/assets/css/module-css/05-testimonial-section.css	(from https://mehedi.asiandevelopers.com/govarnex-demo/)
22:15:26	1347/1347	---M-Z	200	added ('OK')	text/css	date:Mon,%2006%20Jun%202022%2003:44:02%20GMT	https://mehedi.asiandevelopers.com/govarnex-demo/assets/css/module-css/06-partner-section.css	C:/Muhammad%20Ayan/Government%20Website%20work/government%20of%20balochis/mehedi.asiandevelopers.com/govarnex-demo/assets/css/module-css/06-partner-section.css	(from https://mehedi.asiandevelopers.com/govarnex-demo/)
22:15:27	8290/8290	---M-Z	200	added ('OK')	text/css	date:Fri,%2001%20Jul%202022%2015:01:30%20GMT	https://mehedi.asiandevelopers.com/govarnex-demo/assets/css/module-css/07-footer-section.css	C:/Muhammad%20Ayan/Government%20Website%20work/government%20of%20balochis/mehedi.asiandevelopers.com/govarnex-demo/assets/css/module-css/07-footer-section.css	(from https://mehedi.asiandevelopers.com/govarnex-demo/)
22:15:27	27941/27941	---M-Z	200	added ('OK')	text/css	date:Fri,%2022%20Jul%202022%2021:01:00%20GMT	https://mehedi.asiandevelopers.com/govarnex-demo/assets/css/module-css/08-blog-section.css	C:/Muhammad%20Ayan/Government%20Website%20work/government%20of%20balochis/mehedi.asiandevelopers.com/govarnex-demo/assets/css/module-css/08-blog-section.css	(from https://mehedi.asiandevelopers.com/govarnex-demo/)
22:15:28	125759/125759	---M-Z	200	added ('OK')	text/css	date:Thu,%2028%20Jul%202022%2022:44:34%20GMT	https://mehedi.asiandevelopers.com/govarnex-demo/assets/css/style.css	C:/Muhammad%20Ayan/Government%20Website%20work/government%20of%20balochis/mehedi.asiandevelopers.com/govarnex-demo/assets/css/style.css	(from https://mehedi.asiandevelopers.com/govarnex-demo/)
22:15:28	52842/52842	---M-Z	200	added ('OK')	text/css	date:Mon,%2025%20Jul%202022%2022:12:34%20GMT	https://mehedi.asiandevelopers.com/govarnex-demo/assets/css/responsive.css	C:/Muhammad%20Ayan/Government%20Website%20work/government%20of%20balochis/mehedi.asiandevelopers.com/govarnex-demo/assets/css/responsive.css	(from https://mehedi.asiandevelopers.com/govarnex-demo/)
22:15:29	127729/127729	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Apr%202023%2009:31:14%20GMT	https://mehedi.asiandevelopers.com/govarnex-demo/index.html	C:/Muhammad%20Ayan/Government%20Website%20work/government%20of%20balochis/mehedi.asiandevelopers.com/govarnex-demo/	(from https://mehedi.asiandevelopers.com/govarnex-demo/)
22:15:29	2733/2733	---M--	200	added ('OK')	image/png	date:Mon,%2027%20Jun%202022%2015:14:32%20GMT	https://mehedi.asiandevelopers.com/govarnex-demo/assets/images/resources/logo-1.png	C:/Muhammad%20Ayan/Government%20Website%20work/government%20of%20balochis/mehedi.asiandevelopers.com/govarnex-demo/assets/images/resources/logo-1.png	(from https://mehedi.asiandevelopers.com/govarnex-demo/)
22:15:30	60811/60811	---M--	200	added ('OK')	image/jpeg	date:Mon,%2018%20Jul%202022%2015:22:22%20GMT	https://mehedi.asiandevelopers.com/govarnex-demo/assets/images/home-showcase/home-showcase-1-1.jpg	C:/Muhammad%20Ayan/Government%20Website%20work/government%20of%20balochis/mehedi.asiandevelopers.com/govarnex-demo/assets/images/home-showcase/home-showcase-1-1.jpg	(from https://mehedi.asiandevelopers.com/govarnex-demo/)
22:15:31	114826/114826	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Apr%202023%2009:31:16%20GMT	https://mehedi.asiandevelopers.com/govarnex-demo/	C:/Muhammad%20Ayan/Government%20Website%20work/government%20of%20balochis/mehedi.asiandevelopers.com/govarnex-demo/	(from https://mehedi.asiandevelopers.com/govarnex-demo/)
22:15:32	57535/57535	---M--	200	added ('OK')	image/jpeg	date:Mon,%2018%20Jul%202022%2015:27:52%20GMT	https://mehedi.asiandevelopers.com/govarnex-demo/assets/images/home-showcase/home-showcase-1-2.jpg	C:/Muhammad%20Ayan/Government%20Website%20work/government%20of%20balochis/mehedi.asiandevelopers.com/govarnex-demo/assets/images/home-showcase/home-showcase-1-2.jpg	(from https://mehedi.asiandevelopers.com/govarnex-demo/)
22:15:33	126557/126557	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Apr%202023%2009:31:16%20GMT	https://mehedi.asiandevelopers.com/govarnex-demo/	C:/Muhammad%20Ayan/Government%20Website%20work/government%20of%20balochis/mehedi.asiandevelopers.com/govarnex-demo/	(from https://mehedi.asiandevelopers.com/govarnex-demo/)
22:15:34	113654/113654	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Apr%202023%2009:31:16%20GMT	https://mehedi.asiandevelopers.com/govarnex-demo/	C:/Muhammad%20Ayan/Government%20Website%20work/government%20of%20balochis/mehedi.asiandevelopers.com/govarnex-demo/	(from https://mehedi.asiandevelopers.com/govarnex-demo/)
22:15:35	120303/120303	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Apr%202023%2009:31:16%20GMT	https://mehedi.asiandevelopers.com/govarnex-demo/	C:/Muhammad%20Ayan/Government%20Website%20work/government%20of%20balochis/mehedi.asiandevelopers.com/govarnex-demo/	(from https://mehedi.asiandevelopers.com/govarnex-demo/)
22:15:35	53889/53889	---M--	200	added ('OK')	image/jpeg	date:Mon,%2018%20Jul%202022%2015:31:16%20GMT	https://mehedi.asiandevelopers.com/govarnex-demo/assets/images/home-showcase/home-showcase-1-3.jpg	C:/Muhammad%20Ayan/Government%20Website%20work/government%20of%20balochis/mehedi.asiandevelopers.com/govarnex-demo/assets/images/home-showcase/home-showcase-1-3.jpg	(from https://mehedi.asiandevelopers.com/govarnex-demo/)
22:15:38	107400/107400	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Apr%202023%2009:31:16%20GMT	https://mehedi.asiandevelopers.com/govarnex-demo/	C:/Muhammad%20Ayan/Government%20Website%20work/government%20of%20balochis/mehedi.asiandevelopers.com/govarnex-demo/	(from https://mehedi.asiandevelopers.com/govarnex-demo/)
22:15:38	61672/61672	---M--	200	added ('OK')	image/jpeg	date:Mon,%2018%20Jul%202022%2016:45:16%20GMT	https://mehedi.asiandevelopers.com/govarnex-demo/assets/images/home-showcase/home-showcase-1-4.jpg	C:/Muhammad%20Ayan/Government%20Website%20work/government%20of%20balochis/mehedi.asiandevelopers.com/govarnex-demo/assets/images/home-showcase/home-showcase-1-4.jpg	(from https://mehedi.asiandevelopers.com/govarnex-demo/)
22:15:40	127771/127771	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Apr%202023%2009:31:16%20GMT	https://mehedi.asiandevelopers.com/govarnex-demo/index-dark.html	C:/Muhammad%20Ayan/Government%20Website%20work/government%20of%20balochis/mehedi.asiandevelopers.com/govarnex-demo/index-dark.html	(from https://mehedi.asiandevelopers.com/govarnex-demo/)
22:15:41	74988/74988	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Apr%202023%2009:31:16%20GMT	https://mehedi.asiandevelopers.com/govarnex-demo/about.html	C:/Muhammad%20Ayan/Government%20Website%20work/government%20of%20balochis/mehedi.asiandevelopers.com/govarnex-demo/about.html	(from https://mehedi.asiandevelopers.com/govarnex-demo/)
22:15:41	45854/45854	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Apr%202023%2009:31:16%20GMT	https://mehedi.asiandevelopers.com/govarnex-demo/history.html	C:/Muhammad%20Ayan/Government%20Website%20work/government%20of%20balochis/mehedi.asiandevelopers.com/govarnex-demo/history.html	(from https://mehedi.asiandevelopers.com/govarnex-demo/)
22:15:42	49165/49165	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Apr%202023%2009:31:16%20GMT	https://mehedi.asiandevelopers.com/govarnex-demo/services.html	C:/Muhammad%20Ayan/Government%20Website%20work/government%20of%20balochis/mehedi.asiandevelopers.com/govarnex-demo/services.html	(from https://mehedi.asiandevelopers.com/govarnex-demo/)
22:15:42	49163/49163	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Apr%202023%2009:31:16%20GMT	https://mehedi.asiandevelopers.com/govarnex-demo/	C:/Muhammad%20Ayan/Government%20Website%20work/government%20of%20balochis/mehedi.asiandevelopers.com/govarnex-demo/	(from https://mehedi.asiandevelopers.com/govarnex-demo/)
22:15:43	50417/50417	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Apr%202023%2009:31:16%20GMT	https://mehedi.asiandevelopers.com/govarnex-demo/	C:/Muhammad%20Ayan/Government%20Website%20work/government%20of%20balochis/mehedi.asiandevelopers.com/govarnex-demo/	(from https://mehedi.asiandevelopers.com/govarnex-demo/)
22:15:44	61795/61795	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Apr%202023%2009:31:16%20GMT	https://mehedi.asiandevelopers.com/govarnex-demo/departments-details.html	C:/Muhammad%20Ayan/Government%20Website%20work/government%20of%20balochis/mehedi.asiandevelopers.com/govarnex-demo/departments-details.html	(from https://mehedi.asiandevelopers.com/govarnex-demo/)
22:15:44	56368/56368	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Apr%202023%2009:31:14%20GMT	https://mehedi.asiandevelopers.com/govarnex-demo/testimonials.html	C:/Muhammad%20Ayan/Government%20Website%20work/government%20of%20balochis/mehedi.asiandevelopers.com/govarnex-demo/testimonials.html	(from https://mehedi.asiandevelopers.com/govarnex-demo/)
22:15:47	48813/48813	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Apr%202023%2009:31:16%20GMT	https://mehedi.asiandevelopers.com/govarnex-demo/faq.html	C:/Muhammad%20Ayan/Government%20Website%20work/government%20of%20balochis/mehedi.asiandevelopers.com/govarnex-demo/faq.html	(from https://mehedi.asiandevelopers.com/govarnex-demo/)
22:15:48	49997/49997	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Apr%202023%2009:31:16%20GMT	https://mehedi.asiandevelopers.com/govarnex-demo/	C:/Muhammad%20Ayan/Government%20Website%20work/government%20of%20balochis/mehedi.asiandevelopers.com/govarnex-demo/	(from https://mehedi.asiandevelopers.com/govarnex-demo/)
22:15:50	50045/50045	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Apr%202023%2009:31:16%20GMT	https://mehedi.asiandevelopers.com/govarnex-demo/portfolio-masonry.html	C:/Muhammad%20Ayan/Government%20Website%20work/government%20of%20balochis/mehedi.asiandevelopers.com/govarnex-demo/portfolio-masonry.html	(from https://mehedi.asiandevelopers.com/govarnex-demo/)
22:15:51	56525/56525	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Apr%202023%2009:31:16%20GMT	https://mehedi.asiandevelopers.com/govarnex-demo/	C:/Muhammad%20Ayan/Government%20Website%20work/government%20of%20balochis/mehedi.asiandevelopers.com/govarnex-demo/	(from https://mehedi.asiandevelopers.com/govarnex-demo/)
22:15:53	52250/52250	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Apr%202023%2009:31:14%20GMT	https://mehedi.asiandevelopers.com/govarnex-demo/	C:/Muhammad%20Ayan/Government%20Website%20work/government%20of%20balochis/mehedi.asiandevelopers.com/govarnex-demo/	(from https://mehedi.asiandevelopers.com/govarnex-demo/)
22:15:54	53002/53002	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Apr%202023%2009:31:14%20GMT	https://mehedi.asiandevelopers.com/govarnex-demo/team-details.html	C:/Muhammad%20Ayan/Government%20Website%20work/government%20of%20balochis/mehedi.asiandevelopers.com/govarnex-demo/team-details.html	(from https://mehedi.asiandevelopers.com/govarnex-demo/)
22:15:55	54085/54085	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Apr%202023%2009:31:16%20GMT	https://mehedi.asiandevelopers.com/govarnex-demo/events-1.html	C:/Muhammad%20Ayan/Government%20Website%20work/government%20of%20balochis/mehedi.asiandevelopers.com/govarnex-demo/events-1.html	(from https://mehedi.asiandevelopers.com/govarnex-demo/)
22:15:55	63229/63229	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Apr%202023%2009:31:16%20GMT	https://mehedi.asiandevelopers.com/govarnex-demo/	C:/Muhammad%20Ayan/Government%20Website%20work/government%20of%20balochis/mehedi.asiandevelopers.com/govarnex-demo/	(from https://mehedi.asiandevelopers.com/govarnex-demo/)
22:15:55	59817/59817	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Apr%202023%2009:31:16%20GMT	https://mehedi.asiandevelopers.com/govarnex-demo/event-details.html	C:/Muhammad%20Ayan/Government%20Website%20work/government%20of%20balochis/mehedi.asiandevelopers.com/govarnex-demo/event-details.html	(from https://mehedi.asiandevelopers.com/govarnex-demo/)
22:15:56	71955/71955	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Apr%202023%2009:31:16%20GMT	https://mehedi.asiandevelopers.com/govarnex-demo/	C:/Muhammad%20Ayan/Government%20Website%20work/government%20of%20balochis/mehedi.asiandevelopers.com/govarnex-demo/	(from https://mehedi.asiandevelopers.com/govarnex-demo/)
22:15:56	71214/71214	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Apr%202023%2009:31:16%20GMT	https://mehedi.asiandevelopers.com/govarnex-demo/	C:/Muhammad%20Ayan/Government%20Website%20work/government%20of%20balochis/mehedi.asiandevelopers.com/govarnex-demo/	(from https://mehedi.asiandevelopers.com/govarnex-demo/)
22:15:57	68209/68209	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Apr%202023%2009:31:16%20GMT	https://mehedi.asiandevelopers.com/govarnex-demo/blog-details.html	C:/Muhammad%20Ayan/Government%20Website%20work/government%20of%20balochis/mehedi.asiandevelopers.com/govarnex-demo/blog-details.html	(from https://mehedi.asiandevelopers.com/govarnex-demo/)
22:15:57	47163/47163	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Apr%202023%2009:31:16%20GMT	https://mehedi.asiandevelopers.com/govarnex-demo/contact.html	C:/Muhammad%20Ayan/Government%20Website%20work/government%20of%20balochis/mehedi.asiandevelopers.com/govarnex-demo/contact.html	(from https://mehedi.asiandevelopers.com/govarnex-demo/)
22:15:59	321846/321846	---M--	200	added ('OK')	image/jpeg	date:Mon,%2027%20Jun%202022%2019:52:14%20GMT	https://mehedi.asiandevelopers.com/govarnex-demo/assets/images/slides/slide-v1-1.jpg	C:/Muhammad%20Ayan/Government%20Website%20work/government%20of%20balochis/mehedi.asiandevelopers.com/govarnex-demo/assets/images/slides/slide-v1-1.jpg	(from https://mehedi.asiandevelopers.com/govarnex-demo/)
